SLV spot evolve sweep (2024-01-08 -> 2026-01-08, use_rth=False, bar_size=10 mins, offline=True, base=champion, axis=exit_pivot, jobs=12, long_only=False realism=v2 spread=0.01 comm=0.005 comm_min=1 slip=0 sizing=risk_pct risk=0.01 max_notional=0.5)

=== exit_pivot: seeded exit pivot micro-grid ===
- seeds_in_file=80 selected=1 seed_top=2
- seed_path=backtests/slv/slv_exec5m_seed_v25_as_10m_full24_top80.json

exit_pivot tested=100 kept=77 rate=0.5/s
exit_pivot tested=200 kept=157 rate=0.5/s

exit_pivot (seeded exit pivot) — Top by pnl/dd
----------------------------------------------
 1. tr=2214 win= 27.0% pnl=  -46820.5 dd= 51441.2 pnl/dd= -0.91 roi=-46.82% dd%= 51.44% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] | max_open=2 close_eod=1 only_profit=1 | PT=None SL=0.006
 2. tr=2220 win= 26.9% pnl=  -47108.4 dd= 51557.3 pnl/dd= -0.91 roi=-47.11% dd%= 51.56% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] | max_open=2 close_eod=1 only_profit=0 | PT=None SL=0.006
 3. tr=3495 win= 53.2% pnl=  -60699.6 dd= 65396.7 pnl/dd= -0.93 roi=-60.70% dd%= 65.40% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] | max_open=2 close_eod=1 only_profit=0 | PT=0.006 SL=0.012
 4. tr=2953 win= 60.8% pnl=  -49794.9 dd= 53346.2 pnl/dd= -0.93 roi=-49.79% dd%= 53.35% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] | max_open=2 close_eod=0 only_profit=1 | PT=0.006 SL=0.012
 5. tr=3488 win= 53.4% pnl=  -60174.2 dd= 64429.6 pnl/dd= -0.93 roi=-60.17% dd%= 64.43% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] | max_open=2 close_eod=1 only_profit=1 | PT=0.006 SL=0.012
 6. tr=3018 win= 59.3% pnl=  -52319.3 dd= 55127.2 pnl/dd= -0.95 roi=-52.32% dd%= 55.13% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] | max_open=2 close_eod=0 only_profit=0 | PT=0.006 SL=0.012
 7. tr=2982 win= 19.8% pnl=  -61208.8 dd= 64231.1 pnl/dd= -0.95 roi=-61.21% dd%= 64.23% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] | max_open=2 close_eod=1 only_profit=0 | PT=None SL=0.004
 8. tr=2978 win= 19.8% pnl=  -61384.0 dd= 64395.2 pnl/dd= -0.95 roi=-61.38% dd%= 64.40% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] | max_open=2 close_eod=1 only_profit=1 | PT=None SL=0.004
 9. tr=3644 win= 16.1% pnl=  -67102.6 dd= 70151.0 pnl/dd= -0.96 roi=-67.10% dd%= 70.15% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] | max_open=2 close_eod=1 only_profit=1 | PT=None SL=0.003
10. tr=3653 win= 16.0% pnl=  -67233.3 dd= 70274.4 pnl/dd= -0.96 roi=-67.23% dd%= 70.27% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] | max_open=2 close_eod=1 only_profit=0 | PT=None SL=0.003
11. tr=3370 win= 55.1% pnl=  -67782.8 dd= 70770.8 pnl/dd= -0.96 roi=-67.78% dd%= 70.77% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] | max_open=2 close_eod=0 only_profit=1 | PT=0.006 SL=0.01
12. tr=3886 win= 66.3% pnl=  -70661.6 dd= 73115.8 pnl/dd= -0.97 roi=-70.66% dd%= 73.12% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] | max_open=2 close_eod=0 only_profit=0 | PT=0.004 SL=0.012
13. tr=3812 win= 67.7% pnl=  -69131.2 dd= 71443.8 pnl/dd= -0.97 roi=-69.13% dd%= 71.44% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] | max_open=2 close_eod=0 only_profit=1 | PT=0.004 SL=0.012
14. tr=3828 win= 49.7% pnl=  -73222.5 dd= 74899.8 pnl/dd= -0.98 roi=-73.22% dd%= 74.90% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] | max_open=2 close_eod=1 only_profit=0 | PT=0.006 SL=0.01
15. tr=3421 win= 53.8% pnl=  -69764.8 dd= 70953.7 pnl/dd= -0.98 roi=-69.76% dd%= 70.95% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] | max_open=2 close_eod=0 only_profit=0 | PT=0.006 SL=0.01
16. tr=2087 win= 67.1% pnl=  -47265.5 dd= 48050.5 pnl/dd= -0.98 roi=-47.27% dd%= 48.05% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] | max_open=1 close_eod=0 only_profit=0 | PT=0.004 SL=0.012
17. tr=3822 win= 49.9% pnl=  -73000.6 dd= 74149.1 pnl/dd= -0.98 roi=-73.00% dd%= 74.15% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] | max_open=2 close_eod=1 only_profit=1 | PT=0.006 SL=0.01
18. tr=4276 win= 45.3% pnl=  -78045.5 dd= 79266.2 pnl/dd= -0.98 roi=-78.05% dd%= 79.27% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] | max_open=2 close_eod=1 only_profit=1 | PT=0.006 SL=0.008
19. tr=4281 win= 45.2% pnl=  -78248.3 dd= 79456.0 pnl/dd= -0.98 roi=-78.25% dd%= 79.46% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] | max_open=2 close_eod=1 only_profit=0 | PT=0.006 SL=0.008
20. tr=3873 win= 48.7% pnl=  -74994.7 dd= 76066.6 pnl/dd= -0.99 roi=-74.99% dd%= 76.07% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] | max_open=2 close_eod=0 only_profit=1 | PT=0.006 SL=0.008
21. tr=3906 win= 48.1% pnl=  -75237.9 dd= 76309.8 pnl/dd= -0.99 roi=-75.24% dd%= 76.31% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] | max_open=2 close_eod=0 only_profit=0 | PT=0.006 SL=0.008
22. tr=4648 win= 41.5% pnl=  -79380.5 dd= 80455.5 pnl/dd= -0.99 roi=-79.38% dd%= 80.46% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] | max_open=2 close_eod=0 only_profit=1 | PT=0.006 SL=0.006
23. tr=4661 win= 41.2% pnl=  -79471.1 dd= 80546.0 pnl/dd= -0.99 roi=-79.47% dd%= 80.55% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] | max_open=2 close_eod=0 only_profit=0 | PT=0.006 SL=0.006
