window	session	bars	flat_bars	flat_share	zero_vol_share
full_2y	all	711275	406789	0.57191522	0.44004780
full_2y	rth	195780	80201	0.40964859	0.25674737
full_2y	overnight	515495	326588	0.63354252	0.50966353
older_than_2025_11	all	610149	380383	0.62342641	0.48825943
older_than_2025_11	rth	168090	74853	0.44531501	0.28385984
older_than_2025_11	overnight	442059	305530	0.69115209	0.56598101
newer_from_2025_11	all	101126	26406	0.26111979	0.14916045
newer_from_2025_11	rth	27690	5348	0.19313832	0.09216324
newer_from_2025_11	overnight	73436	21058	0.28675309	0.17065200
recent_1y	all	356910	177604	0.49761565	0.35649323
recent_1y	rth	97890	32299	0.32995199	0.18357340
recent_1y	overnight	259020	145305	0.56097985	0.42184387
last_2m	all	59880	6214	0.10377422	0.03982966
last_2m	rth	16380	1185	0.07234432	0.02234432
last_2m	overnight	43500	5029	0.11560920	0.04641379
