rank	variant	d1_pnl	d1_pnl_dd	d1_trades	d2_pnl	d2_pnl_dd	d2_trades	min_dd_edge	score
1	r15_s02_sm_dn_fhard	16.085384	0.00136903	702	28.776824	0.00180878	1257	0.00136903	76.640278
2	r15_s02_sm_dn_fbase	16.085384	0.00136903	702	28.776824	0.00180878	1257	0.00136903	76.640278
3	r15_s02_sm_dn_f3828	16.085384	0.00136903	702	28.776824	0.00180878	1257	0.00136903	76.640278
4	r15_s02_sm_dn_f3222	16.085384	0.00136903	702	28.776824	0.00180878	1257	0.00136903	76.640278
5	r15_s02_sm_dn_f3525r	16.085384	0.00136903	702	28.776824	0.00180878	1257	0.00136903	76.640278
6	r15_s02_sm_dn_f3424	16.085384	0.00136903	702	28.776824	0.00180878	1257	0.00136903	76.640278
7	r15_lattice_sm0p0385_sl0p0192_b1p2_fbase	12.101128	0.00167910	702	15.292944	0.00070091	1257	0.00070091	51.194190
8	r15_lattice_sm0p0385_sl0p0192_b1p2_f3828	12.101128	0.00167910	702	15.292944	0.00070091	1257	0.00070091	51.194190
9	r15_lattice_sm0p0385_sl0p0192_b1p2_fhard	12.101128	0.00167910	702	15.292944	0.00070091	1257	0.00070091	51.194190
10	r15_lattice_sm0p0385_sl0p0192_b1p2_f3525r	12.101128	0.00167910	702	15.292944	0.00070091	1257	0.00070091	51.194190
11	r15_lattice_sm0p0385_sl0p0192_b1p2_f3222	12.101128	0.00167910	702	15.292944	0.00070091	1257	0.00070091	51.194190
12	r15_lattice_sm0p0385_sl0p0192_b1p2_f3424	12.101128	0.00167910	702	15.292944	0.00070091	1257	0.00070091	51.194190
13	r15_lattice_sm0p0385_sl0p0192_b1p2_fsoft	6.211112	0.00036605	702	6.819680	0.00020252	1257	0.00020252	18.716548
