rank	strict	variant	d1_pnl	d1_pnl_dd	d1_trades	d2_pnl	d2_pnl_dd	d2_trades
1	0	r16t1_004_tr_median_tr_median_ref0p0267_h1_sm0p0384_sl0p0192	0.000000	0.00000000	702	0.000000	0.00000000	1257
2	0	r16t3_247_midhard_g0_sm0p0384_sl0p0192	0.000000	0.00000000	702	0.000000	0.00000000	1257
3	0	r16t3_224_soft_gmed_sm0p0384_sl0p0192	0.000000	0.00000000	702	0.000000	0.00000000	1257
4	0	r16t3_260_hard_gmed_sm0p0384_sl0p0192	0.000000	0.00000000	702	0.000000	0.00000000	1257
5	0	r16t3_223_soft_g0_sm0p0384_sl0p0192	0.000000	0.00000000	702	0.000000	0.00000000	1257
6	0	r16t3_259_hard_g0_sm0p0384_sl0p0192	0.000000	0.00000000	702	0.000000	0.00000000	1257
7	0	r16t3_236_base_gmed_sm0p0384_sl0p0192	0.000000	0.00000000	702	0.000000	0.00000000	1257
8	0	r16t3_272_hardcap_gmed_sm0p0384_sl0p0192	0.000000	0.00000000	702	0.000000	0.00000000	1257
9	0	r16t1_100_tr_median_direct_tr_median_ref0p0267_h1_sm0p0384_sl0p0192	0.000000	0.00000000	702	0.000000	0.00000000	1257
10	0	r16t3_235_base_g0_sm0p0384_sl0p0192	0.000000	0.00000000	702	0.000000	0.00000000	1257
11	0	r16t3_271_hardcap_g0_sm0p0384_sl0p0192	0.000000	0.00000000	702	0.000000	0.00000000	1257
12	0	r16t3_248_midhard_gmed_sm0p0384_sl0p0192	0.000000	0.00000000	702	0.000000	0.00000000	1257
13	0	r16t1_106_tr_median_direct_tr_median_ref0p0267_h2_sm0p0384_sl0p0192	0.000000	0.00000000	702	-44.482304	-0.00195604	1256
14	0	r16t1_010_tr_median_tr_median_ref0p0267_h2_sm0p0384_sl0p0192	0.000000	0.00000000	702	-44.482304	-0.00195604	1256
15	0	r16t3_239_base_g0_sm0p0386_sl0p0192	-16.085384	-0.00136903	702	-28.776824	-0.00180878	1257
16	0	r16t3_275_hardcap_g0_sm0p0386_sl0p0192	-16.085384	-0.00136903	702	-28.776824	-0.00180878	1257
17	0	r16t1_102_tr_median_direct_tr_median_ref0p0267_h1_sm0p0386_sl0p0192	-16.085384	-0.00136903	702	-28.776824	-0.00180878	1257
18	0	r16t3_240_base_gmed_sm0p0386_sl0p0192	-16.085384	-0.00136903	702	-28.776824	-0.00180878	1257
19	0	r16t3_276_hardcap_gmed_sm0p0386_sl0p0192	-16.085384	-0.00136903	702	-28.776824	-0.00180878	1257
20	0	r16t3_251_midhard_g0_sm0p0386_sl0p0192	-16.085384	-0.00136903	702	-28.776824	-0.00180878	1257
21	0	r16t1_006_tr_median_tr_median_ref0p0267_h1_sm0p0386_sl0p0192	-16.085384	-0.00136903	702	-28.776824	-0.00180878	1257
22	0	r16t3_252_midhard_gmed_sm0p0386_sl0p0192	-16.085384	-0.00136903	702	-28.776824	-0.00180878	1257
23	0	r16t3_227_soft_g0_sm0p0386_sl0p0192	-16.085384	-0.00136903	702	-28.776824	-0.00180878	1257
24	0	r16t3_263_hard_g0_sm0p0386_sl0p0192	-16.085384	-0.00136903	702	-28.776824	-0.00180878	1257
25	0	r16t3_228_soft_gmed_sm0p0386_sl0p0192	-16.085384	-0.00136903	702	-28.776824	-0.00180878	1257
26	0	r16t3_264_hard_gmed_sm0p0386_sl0p0192	-16.085384	-0.00136903	702	-28.776824	-0.00180878	1257
27	0	r16t1_108_tr_median_direct_tr_median_ref0p0267_h2_sm0p0386_sl0p0192	-16.085384	-0.00136903	702	-63.644976	-0.00340752	1256
28	0	r16t1_012_tr_median_tr_median_ref0p0267_h2_sm0p0386_sl0p0192	-16.085384	-0.00136903	702	-63.644976	-0.00340752	1256
29	0	r16t3_244_midhard_gmed_sm0p0382_sl0p0192	-1109.460552	-0.07176216	701	17.483984	0.00105118	1257
30	0	r16t1_002_tr_median_tr_median_ref0p0267_h1_sm0p0382_sl0p0192	-1109.460552	-0.07176216	701	17.483984	0.00105118	1257
31	0	r16t3_243_midhard_g0_sm0p0382_sl0p0192	-1109.460552	-0.07176216	701	17.483984	0.00105118	1257
32	0	r16t3_220_soft_gmed_sm0p0382_sl0p0192	-1109.460552	-0.07176216	701	17.483984	0.00105118	1257
33	0	r16t3_256_hard_gmed_sm0p0382_sl0p0192	-1109.460552	-0.07176216	701	17.483984	0.00105118	1257
34	0	r16t3_219_soft_g0_sm0p0382_sl0p0192	-1109.460552	-0.07176216	701	17.483984	0.00105118	1257
35	0	r16t3_255_hard_g0_sm0p0382_sl0p0192	-1109.460552	-0.07176216	701	17.483984	0.00105118	1257
36	0	r16t3_232_base_gmed_sm0p0382_sl0p0192	-1109.460552	-0.07176216	701	17.483984	0.00105118	1257
37	0	r16t3_268_hardcap_gmed_sm0p0382_sl0p0192	-1109.460552	-0.07176216	701	17.483984	0.00105118	1257
38	0	r16t1_098_tr_median_direct_tr_median_ref0p0267_h1_sm0p0382_sl0p0192	-1109.460552	-0.07176216	701	17.483984	0.00105118	1257
39	0	r16t3_231_base_g0_sm0p0382_sl0p0192	-1109.460552	-0.07176216	701	17.483984	0.00105118	1257
40	0	r16t3_267_hardcap_g0_sm0p0382_sl0p0192	-1109.460552	-0.07176216	701	17.483984	0.00105118	1257
41	0	r16t1_104_tr_median_direct_tr_median_ref0p0267_h2_sm0p0382_sl0p0192	-1109.460552	-0.07176216	701	-10.573024	0.00010632	1256
42	0	r16t1_008_tr_median_tr_median_ref0p0267_h2_sm0p0382_sl0p0192	-1109.460552	-0.07176216	701	-10.573024	0.00010632	1256
43	0	r16t1_054_tr_median_atrtrmed_ref0p0267_h1_sm0p0386_sl0p0192	-1118.799832	-0.07511916	708	-1266.405136	-0.07417371	1262
44	0	r16t1_050_tr_median_atrtrmed_ref0p0267_h1_sm0p0382_sl0p0192	-2186.408288	-0.14395859	707	-1226.122328	-0.07142537	1262
45	0	r16t1_052_tr_median_atrtrmed_ref0p0267_h1_sm0p0384_sl0p0192	-2199.856144	-0.14581304	707	-1251.325584	-0.07297319	1262
