rank	track	name	pnl_1y	dd_1y	trades_1y	pnl_over_dd_1y
1	track3	r4c_074_km03_tight_h3_sm0p0388_sl0p0192	14383.39	13007.06	711	1.1058
2	track3	r4c_077_km03_tight_h3_sm0p039_sl0p0192	14355.51	13014.07	712	1.1031
3	track3	r4c_080_km03_tight_h3_sm0p0392_sl0p0192	14349.28	13014.68	712	1.1025
4	track3	r4c_083_km03_tight_h3_sm0p0394_sl0p0192	14335.07	13015.78	713	1.1014
5	track2	r4b_023_aggressive_trend_bias_rz_off_ov_mid_st_med	14268.39	14221.98	723	1.0033
6	track2	r4b_029_aggressive_trend_bias_rz_atr_soft_ov_mid_st_med	14268.39	14221.98	723	1.0033
7	track2	r4b_024_aggressive_trend_bias_rz_off_ov_mid_st_hard	14268.39	14221.98	723	1.0033
8	track2	r4b_030_aggressive_trend_bias_rz_atr_soft_ov_mid_st_hard	14268.39	14221.98	723	1.0033
9	track2	r4b_022_aggressive_trend_bias_rz_off_ov_mid_st_soft	14262.85	14227.52	723	1.0025
10	track2	r4b_028_aggressive_trend_bias_rz_atr_soft_ov_mid_st_soft	14262.85	14227.52	723	1.0025
11	track3	r4c_081_km03_tight_h3_sm0p0392_sl0p0194	14139.36	13222.70	702	1.0693
12	track2	r4b_020_aggressive_trend_bias_rz_off_ov_tight_st_med	14136.35	14210.84	723	0.9948
13	track2	r4b_026_aggressive_trend_bias_rz_atr_soft_ov_tight_st_med	14136.35	14210.84	723	0.9948
14	track2	r4b_021_aggressive_trend_bias_rz_off_ov_tight_st_hard	14136.35	14210.84	723	0.9948
15	track2	r4b_027_aggressive_trend_bias_rz_atr_soft_ov_tight_st_hard	14136.35	14210.84	723	0.9948
16	track2	r4b_019_aggressive_trend_bias_rz_off_ov_tight_st_soft	14133.20	14213.99	723	0.9943
17	track2	r4b_025_aggressive_trend_bias_rz_atr_soft_ov_tight_st_soft	14133.20	14213.99	723	0.9943
18	track3	r4c_084_km03_tight_h3_sm0p0394_sl0p0194	14125.22	13231.38	702	1.0676
19	track3	r4c_062_km02_tight_h7_sm0p0388_sl0p0192	14067.14	14259.69	701	0.9865
20	track3	r4c_065_km02_tight_h7_sm0p039_sl0p0192	14034.94	14260.01	702	0.9842
21	track3	r4c_068_km02_tight_h7_sm0p0392_sl0p0192	14023.78	14264.21	702	0.9831
22	track3	r4c_071_km02_tight_h7_sm0p0394_sl0p0192	14015.28	14265.52	703	0.9825
23	track3	r4c_075_km03_tight_h3_sm0p0388_sl0p0194	13613.25	13159.92	702	1.0344
24	track3	r4c_078_km03_tight_h3_sm0p039_sl0p0194	13595.27	13165.22	702	1.0327
25	track1	r4a_106_h5_sm0p039_sl0p0192_entry_permission	9216.12	10779.54	703	0.8550
26	track1	r4a_107_h5_sm0p039_sl0p0192_state_off	9216.12	10779.54	703	0.8550
27	track1	opt1_016_neutral_atr_compress_r3_hybrid_mid_o2_mid	9216.12	10779.54	703	0.8550
28	track1	r4a_108_h5_sm0p039_sl0p0192_state_permission	9216.12	10779.54	703	0.8550
29	track1	r4a_010_h4_sm0p0385_sl0p0192_entry_permission	9214.81	10760.48	701	0.8564
30	track1	r4a_011_h4_sm0p0385_sl0p0192_state_off	9214.81	10760.48	701	0.8564
31	track1	r4a_009_h4_sm0p0385_sl0p0192_entry_off	9214.81	10760.48	701	0.8564
32	track1	r4a_012_h4_sm0p0385_sl0p0192_state_permission	9214.81	10760.48	701	0.8564
