name	strict	exception	1y_tr	1y_pnl	1y_pdd	2y_pnl	2y_pdd	10y_pnl	10y_pdd	d1_pnl	d2_pnl	d10_pnl	d1_pdd	d2_pdd	d10_pdd
r5c2_s01_base_h7_sm0.0386	0	0	700	13387.51	0.9447	15723.64	1.0067	-55297.94	-0.8609	-995.88	348.84	444.21	-0.1611	0.0462	0.0017
r5c2_s01_base_h7_sm0.0388	0	0	701	14067.14	0.9865	15701.05	1.0048	-55333.71	-0.8612	-316.25	326.25	408.44	-0.1193	0.0443	0.0014
r5a_km03_h3_sm0.0386_sl0.0192_sh1.37_1.27_goff	0	0	710	13704.40	1.0593	15400.80	0.9622	-55676.04	-0.8620	-678.99	26.00	66.11	-0.0465	0.0017	0.0007
r5c2_s01_base_h3_sm0.0386	0	0	710	13704.40	1.0593	15400.80	0.9622	-55676.04	-0.8620	-678.99	26.00	66.11	-0.0465	0.0017	0.0007
r5c2_s01_base_h7_sm0.0390	0	0	702	14034.94	0.9842	15691.86	1.0039	-55617.21	-0.8624	-348.46	317.05	124.94	-0.1216	0.0434	0.0002
r5b2_km03_off_none_h3_sh1.35_1.25	0	0	711	14383.39	1.1058	15374.80	0.9605	-55742.15	-0.8626	0.00	0.00	0.00	0.0000	0.0000	0.0000
r5b2_km03_off_none_h3_sh1.33_1.23	0	0	711	14383.39	1.1058	15374.80	0.9605	-55742.15	-0.8626	0.00	0.00	0.00	0.0000	0.0000	0.0000
r5b2_km03_off_none_h3_sh1.37_1.27	0	0	711	14383.39	1.1058	15374.80	0.9605	-55742.15	-0.8626	0.00	0.00	0.00	0.0000	0.0000	0.0000
r5c2_s01_base_h3_sm0.0388	0	0	711	14383.39	1.1058	15374.80	0.9605	-55742.15	-0.8626	0.00	0.00	0.00	0.0000	0.0000	0.0000
r5b2_km03_off_none_h3_sh1.30_1.20	0	0	711	14383.39	1.1058	15374.80	0.9605	-55742.15	-0.8626	0.00	0.00	0.00	0.0000	0.0000	0.0000
r5a_km03_h3_sm0.0390_sl0.0192_sh1.33_1.23_goff	0	0	712	14355.51	1.1031	15340.89	0.9579	-55747.23	-0.8627	-27.88	-33.91	-5.08	-0.0027	-0.0026	-0.0000
r5c2_s01_base_h3_sm0.0390	0	0	712	14355.51	1.1031	15340.89	0.9579	-55747.23	-0.8627	-27.88	-33.91	-5.08	-0.0027	-0.0026	-0.0000
r5a_km03_h3_sm0.0392_sl0.0192_sh1.32_1.22_goff	0	0	712	14349.28	1.1025	15326.46	0.9569	-56039.96	-0.8640	-34.11	-48.35	-297.81	-0.0033	-0.0036	-0.0014
r5a_km03_h1_sm0.0384_sl0.0192_sh1.32_1.22_goff	0	0	708	13849.22	1.0695	15526.98	0.9992	-56008.22	-0.8654	-534.17	152.17	-266.07	-0.0363	0.0387	-0.0028
r5a_km03_h1_sm0.0388_sl0.0192_sh1.40_1.30_goff	0	1	710	14498.13	1.1132	15487.83	0.9966	-56037.40	-0.8655	114.74	113.03	-295.25	0.0073	0.0361	-0.0029
r5a_km03_h2_sm0.0388_sl0.0192_sh1.32_1.22_goff	0	0	712	13977.38	1.0780	14967.11	0.9347	-56037.17	-0.8656	-406.02	-407.70	-295.02	-0.0278	-0.0258	-0.0029
r5a_km03_h1_sm0.0386_sl0.0192_sh1.35_1.25_goff	0	1	709	14517.07	1.1145	15499.52	0.9973	-56028.57	-0.8656	133.68	124.72	-286.42	0.0087	0.0368	-0.0030
r5a_km03_h2_sm0.0390_sl0.0192_sh1.35_1.25_goff	0	0	713	13951.09	1.0761	14942.41	0.9328	-56078.88	-0.8661	-432.30	-432.39	-336.73	-0.0297	-0.0277	-0.0035
r5c2_s01_base_h6_sm0.0388	0	0	706	13270.16	0.9387	14672.88	0.9279	-55688.27	-0.8665	-1113.23	-701.93	53.89	-0.1672	-0.0327	-0.0039
r5a_km03_h2_sm0.0392_sl0.0192_sh1.40_1.30_goff	0	0	713	13942.31	1.0748	14924.79	0.9316	-56321.92	-0.8668	-441.08	-450.01	-579.76	-0.0310	-0.0289	-0.0042
