rank	track	name	pnl_1y	dd_1y	pnl_over_dd_1y	trades_1y
1	t1	r5a_km03_h1_sm0.0386_sl0.0192_sh1.35_1.25_goff	14517.07	13025.34	1.1145	709
2	t1	r5a_km03_h1_sm0.0388_sl0.0192_sh1.40_1.30_goff	14498.13	13024.38	1.1132	710
3	t1	r5a_km03_h1_sm0.0392_sl0.0192_sh1.37_1.27_goff	14463.84	13030.76	1.1100	711
4	t2b	r5b2_km03_off_none_h3_sh1.35_1.25	14383.39	13007.06	1.1058	711
5	t2b	r5b2_km03_off_none_h3_sh1.37_1.27	14383.39	13007.06	1.1058	711
6	t2b	r5b2_km03_off_none_h3_sh1.30_1.20	14383.39	13007.06	1.1058	711
7	t2b	r5b2_km03_off_none_h3_sh1.33_1.23	14383.39	13007.06	1.1058	711
8	t3b	r5c2_s01_base_h3_sm0.0388	14383.39	13007.06	1.1058	711
9	t1	r5a_km03_h1_sm0.0386_sl0.0192_sh1.40_1.30_gpermission	14356.68	13000.30	1.1043	711
10	t1	r5a_km03_h3_sm0.0390_sl0.0192_sh1.33_1.23_goff	14355.51	13014.07	1.1031	712
11	t3b	r5c2_s01_base_h3_sm0.0390	14355.51	13014.07	1.1031	712
12	t1	r5a_km03_h3_sm0.0392_sl0.0192_sh1.32_1.22_goff	14349.28	13014.68	1.1025	712
13	t1	r5a_km03_h1_sm0.0390_sl0.0192_sh1.37_1.27_gpermission	14316.57	13016.51	1.0999	712
14	t1	r5a_km03_h1_sm0.0390_sl0.0194_sh1.33_1.23_goff	14292.71	13241.97	1.0793	700
15	t1	r5a_km03_h1_sm0.0392_sl0.0194_sh1.32_1.22_goff	14283.64	13243.01	1.0786	700
16	t1	r5a_km03_h1_sm0.0390_sl0.0194_sh1.32_1.22_gpermission	14134.09	13221.84	1.0690	702
17	t1	r5a_km03_h1_sm0.0392_sl0.0194_sh1.35_1.25_gpermission	14128.13	13221.36	1.0686	702
18	t1	r5a_km03_h3_sm0.0388_sl0.0192_sh1.33_1.23_gpermission	14124.52	12980.54	1.0881	713
19	t2b	r5b2_km03_off_atrcompress_h3_sh1.30_1.20	14124.52	12980.54	1.0881	713
20	t2b	r5b2_km03_off_trendbias_h3_sh1.33_1.23	14124.52	12980.54	1.0881	713
21	t2b	r5b2_km03_atr_soft_none_h3_sh1.35_1.25	14124.52	12980.54	1.0881	713
22	t2b	r5b2_km03_atr_soft_none_h3_sh1.37_1.27	14124.52	12980.54	1.0881	713
23	t2b	r5b2_km03_atr_soft_atrcompress_h3_sh1.30_1.20	14124.52	12980.54	1.0881	713
24	t2b	r5b2_km03_atr_soft_trendbias_h3_sh1.33_1.23	14124.52	12980.54	1.0881	713
25	t2b	r5b2_km03_off_atrcompress_h3_sh1.33_1.23	14124.52	12980.54	1.0881	713
26	t2b	r5b2_km03_off_trendbias_h3_sh1.35_1.25	14124.52	12980.54	1.0881	713
27	t2b	r5b2_km03_off_trendbias_h3_sh1.37_1.27	14124.52	12980.54	1.0881	713
28	t2b	r5b2_km03_atr_soft_none_h3_sh1.30_1.20	14124.52	12980.54	1.0881	713
29	t1	r5a_km03_h3_sm0.0390_sl0.0192_sh1.32_1.22_gpermission	14110.32	12983.76	1.0868	713
30	t1	r5a_km03_h3_sm0.0392_sl0.0192_sh1.35_1.25_gpermission	14096.70	12989.84	1.0852	714
31	t3b	r5c2_s01_base_h7_sm0.0388	14067.14	14259.69	0.9865	701
32	t3b	r5c2_s01_base_h7_sm0.0390	14034.94	14260.01	0.9842	702
33	t1	r5a_km03_h2_sm0.0388_sl0.0192_sh1.32_1.22_goff	13977.38	12965.70	1.0780	712
34	t1	r5a_km03_h2_sm0.0390_sl0.0192_sh1.35_1.25_goff	13951.09	12964.73	1.0761	713
35	t1	r5a_km03_h2_sm0.0392_sl0.0192_sh1.40_1.30_goff	13942.31	12971.57	1.0748	713
36	t1	r5a_km03_h1_sm0.0384_sl0.0192_sh1.32_1.22_goff	13849.22	12949.42	1.0695	708
37	t1	r5a_km03_h1_sm0.0386_sl0.0194_sh1.37_1.27_goff	13751.14	13177.64	1.0435	700
38	t1	r5a_km03_h2_sm0.0388_sl0.0192_sh1.35_1.25_gpermission	13739.18	12943.94	1.0614	714
39	t1	r5a_km03_h2_sm0.0390_sl0.0192_sh1.40_1.30_gpermission	13733.02	12939.44	1.0613	714
40	t1	r5a_km03_h3_sm0.0386_sl0.0192_sh1.37_1.27_goff	13704.40	12936.70	1.0593	710
41	t3b	r5c2_s01_base_h3_sm0.0386	13704.40	12936.70	1.0593	710
42	t1	r5a_km03_h1_sm0.0384_sl0.0192_sh1.35_1.25_gpermission	13690.30	12926.94	1.0591	710
43	t1	r5a_km03_h3_sm0.0384_sl0.0194_sh1.33_1.23_goff	13651.66	13148.98	1.0382	702
44	t3b	r5c2_s01_base_h7_sm0.0386	13387.51	14170.81	0.9447	700
45	t3b	r5c2_s01_base_h5_sm0.0388	13289.81	14142.69	0.9397	708
46	t3b	r5c2_s01_base_h6_sm0.0388	13270.16	14137.30	0.9387	706
47	t3b	r5c2_s01_base_h5_sm0.0390	13267.30	14137.64	0.9384	709
48	t3b	r5c2_s01_base_h6_sm0.0390	13249.32	14133.07	0.9375	707
