base	variant	strict	exception	1y_tr	1y_pnl	1y_pdd	2y_pnl	2y_pdd	10y_pnl	10y_pdd	d1_pnl_vs_ctl	d2_pnl_vs_ctl	d10_pnl_vs_ctl	d1_pdd_vs_ctl	d2_pdd_vs_ctl	d10_pdd_vs_ctl	d1_pnl_vs_champ	d2_pnl_vs_champ	d10_pnl_vs_champ	d1_pdd_vs_champ	d2_pdd_vs_champ	d10_pdd_vs_champ
r5a_km03_h1_sm0.0386_sl0.0192_sh1.35_1.25_goff	ctl	0	0	709	14517.074711999432	1.1145252148186575	15499.524552001621	0.9973487880058195	-56028.574591994795	-0.8656019085083521	0.0	0.0	0.0	0.0	0.0	0.0	133.68204799995328	124.72021599994514	-286.422992000058	0.008711036025840002	0.03681515634377519	-0.002991829342289476
r5a_km03_h1_sm0.0386_sl0.0192_sh1.35_1.25_goff	dboth	0	0	711	14356.680511999388	1.1043342217494698	15317.585256001581	0.9774402040376085	-57552.64746399519	-0.8724070930416657	-160.3942000000443	-181.93929600004049	-1524.0728720003972	-0.010190993069187693	-0.019908583968211047	-0.006805184533313691	-26.71215200009101	-57.219080000095346	-1810.4958640004552	-0.0014799570433476905	0.016906572375564144	-0.009797013875603167
r5a_km03_h1_sm0.0386_sl0.0192_sh1.35_1.25_goff	dhtr	0	0	711	14356.680511999388	1.1043342217494698	15317.585256001581	0.9774402040376085	-57552.64746399519	-0.8724070930416657	-160.3942000000443	-181.93929600004049	-1524.0728720003972	-0.010190993069187693	-0.019908583968211047	-0.006805184533313691	-26.71215200009101	-57.219080000095346	-1810.4958640004552	-0.0014799570433476905	0.016906572375564144	-0.009797013875603167
r5a_km03_h1_sm0.0386_sl0.0192_sh1.35_1.25_goff	dstr	0	0	711	14356.680511999388	1.1043342217494698	15317.585256001581	0.9774402040376085	-57554.598687995196	-0.8723492491149611	-160.3942000000443	-181.93929600004049	-1526.0240960004012	-0.010190993069187693	-0.019908583968211047	-0.006747340606609087	-26.71215200009101	-57.219080000095346	-1812.4470880004592	-0.0014799570433476905	0.016906572375564144	-0.009739169948898563
r5a_km03_h1_sm0.0386_sl0.0192_sh1.40_1.30_gpermission	ctl	0	0	711	14356.680511999388	1.1043342217494698	15317.585256001581	0.9774402040376085	-57554.598687995196	-0.8723492491149611	0.0	0.0	0.0	0.0	0.0	0.0	-26.71215200009101	-57.219080000095346	-1812.4470880004592	-0.0014799570433476905	0.016906572375564144	-0.009739169948898563
r5a_km03_h1_sm0.0386_sl0.0192_sh1.40_1.30_gpermission	dboth	0	0	711	14356.680511999388	1.1043342217494698	15317.585256001581	0.9774402040376085	-57552.64746399519	-0.8724070930416657	0.0	0.0	1.9512240000040038	0.0	0.0	-5.784392670460381e-05	-26.71215200009101	-57.219080000095346	-1810.4958640004552	-0.0014799570433476905	0.016906572375564144	-0.009797013875603167
r5a_km03_h1_sm0.0386_sl0.0192_sh1.40_1.30_gpermission	dhtr	0	0	711	14356.680511999388	1.1043342217494698	15317.585256001581	0.9774402040376085	-57552.64746399519	-0.8724070930416657	0.0	0.0	1.9512240000040038	0.0	0.0	-5.784392670460381e-05	-26.71215200009101	-57.219080000095346	-1810.4958640004552	-0.0014799570433476905	0.016906572375564144	-0.009797013875603167
r5a_km03_h1_sm0.0386_sl0.0192_sh1.40_1.30_gpermission	dstr	0	0	711	14356.680511999388	1.1043342217494698	15317.585256001581	0.9774402040376085	-57554.598687995196	-0.8723492491149611	0.0	0.0	0.0	0.0	0.0	0.0	-26.71215200009101	-57.219080000095346	-1812.4470880004592	-0.0014799570433476905	0.016906572375564144	-0.009739169948898563
r5a_km03_h1_sm0.0388_sl0.0192_sh1.40_1.30_goff	ctl	0	0	710	14498.133375999434	1.1131537184222182	15487.832936001614	0.9966155394859739	-56037.4014799947	-0.8655310658924918	0.0	0.0	0.0	0.0	0.0	0.0	114.74071199995524	113.0285999999378	-295.24987999996665	0.007339539629400704	0.036081907823929615	-0.0029209867264292644
r5a_km03_h1_sm0.0388_sl0.0192_sh1.40_1.30_goff	dboth	0	0	711	14349.004231999395	1.1037854487803795	15296.381768001582	0.975990528828398	-57569.30894399533	-0.8723624381952292	-149.12914400003865	-191.45116800003234	-1531.9074640006293	-0.009368269641838678	-0.020625010657575937	-0.006831372302737337	-34.38843200008341	-78.42256800009454	-1827.157344000596	-0.0020287300124379737	0.015456897166353678	-0.009752359029166602
