rank	name	1y_pnl	1y_pdd	1y_tr
1	r7t2_r5c2_s01_base_h7_sm0_0388_med_c1_bfirst_def	24512.49	1.0817	701
2	r7t2_r5c2_s01_base_h7_sm0_0388_hard_c1_bfirst_def	24512.49	1.0817	701
3	r7t2_r5c2_s01_base_h7_sm0_0388_soft_c1_bfirst_def	24510.12	1.0815	701
4	r7t2_r5a_km03_h1_sm0_0386_sl0_0192_sh1_35_med_c1_bfirst_def	23301.09	1.0530	715
5	r7t2_r5a_km03_h1_sm0_0386_sl0_0192_sh1_35_hard_c1_bfirst_def	23301.09	1.0530	715
6	r7t2_r5a_km03_h1_sm0_0386_sl0_0192_sh1_35_soft_c1_bfirst_def	23297.85	1.0527	715
7	r7t2_r5a_km03_h1_sm0_0388_sl0_0192_sh1_40_med_c1_bfirst_def	23289.92	1.0527	715
8	r7t2_r5a_km03_h1_sm0_0388_sl0_0192_sh1_40_hard_c1_bfirst_def	23289.92	1.0527	715
9	r7t2_r5a_km03_h1_sm0_0388_sl0_0192_sh1_40_soft_c1_bfirst_def	23284.92	1.0522	715
10	r7t2_r5c2_s01_base_h7_sm0_0388_med_c5_bfirst_damp	23176.02	1.0939	703
11	r7t2_r5a_km03_h1_sm0_0386_sl0_0192_sh1_35_med_c2_bfirst_bal	22625.67	1.8003	702
12	r7t2_r5a_km03_h1_sm0_0386_sl0_0192_sh1_35_hard_c2_bfirst_bal	22625.67	1.8003	702
13	r7t2_r5a_km03_h1_sm0_0386_sl0_0192_sh1_35_soft_c2_bfirst_bal	22622.52	1.7996	702
14	r7t2_r5a_km03_h1_sm0_0388_sl0_0192_sh1_40_med_c2_bfirst_bal	22605.21	1.7979	702
15	r7t1_r5a_km03_h1_sm0_0386_sl0_0192_sh1_35_ctl	14517.07	1.1145	709
16	r7t1_r4c_074_km03_tight_h3_sm0p0388_sl0p0_ctl	14383.39	1.1058	711
17	r7t1_opt1_016_neutral_atr_compress_r3_hyb_ctl	9216.12	0.8550	703
