name	strict	exception	1y_tr	1y_pnl	1y_pdd	2y_pnl	2y_pdd	10y_pnl	10y_pdd	d1_pnl	d2_pnl	d10_pnl	d1_pdd	d2_pdd	d10_pdd
r9t2_001_b_then_a_a0.45_b1.00_ar0.020_br0.20_atr0.92_btr1.08_rp0.15	0	0	715	21175.13	1.0693	35407.38	1.6004	-62742.28	-0.8071	-1450.54	-1071.10	7433.01	-0.7310	-0.5454	0.0252
r9t2_002_b_then_a_a0.45_b1.00_ar0.024_br0.24_atr0.96_btr1.12_rp0.25	0	0	715	21175.13	1.0693	35407.38	1.6004	-62775.51	-0.8073	-1450.54	-1071.10	7399.78	-0.7310	-0.5454	0.0250
r9t2_003_b_then_a_a0.45_b1.00_ar0.028_br0.28_atr1.00_btr1.18_rp0.35	0	0	715	21175.13	1.0693	35407.38	1.6004	-62807.86	-0.8074	-1450.54	-1071.10	7367.43	-0.7310	-0.5454	0.0249
r9t2_004_b_then_a_a0.45_b1.15_ar0.020_br0.20_atr0.92_btr1.08_rp0.15	0	0	715	24271.40	1.0718	41225.57	1.6021	-66806.03	-0.8091	1645.73	4747.09	3369.26	-0.7285	-0.5437	0.0232
r9t2_005_b_then_a_a0.45_b1.15_ar0.024_br0.24_atr0.96_btr1.12_rp0.25	0	0	715	24271.40	1.0718	41225.57	1.6021	-66856.89	-0.8095	1645.73	4747.09	3318.40	-0.7285	-0.5437	0.0228
r9t2_006_b_then_a_a0.45_b1.15_ar0.028_br0.28_atr1.00_btr1.18_rp0.35	0	0	715	24271.40	1.0718	41225.57	1.6021	-66875.62	-0.8095	1645.73	4747.09	3299.67	-0.7285	-0.5437	0.0228
r9t2_010_b_then_a_a0.60_b1.00_ar0.020_br0.20_atr0.92_btr1.08_rp0.15	0	0	717	22544.72	1.0700	33738.13	1.4669	-63689.10	-0.8147	-80.95	-2740.35	6486.19	-0.7303	-0.6789	0.0176
r9t2_011_b_then_a_a0.60_b1.00_ar0.024_br0.24_atr0.96_btr1.12_rp0.25	0	0	717	22544.72	1.0700	33738.13	1.4669	-63725.18	-0.8148	-80.95	-2740.35	6450.11	-0.7303	-0.6789	0.0175
r9t2_012_b_then_a_a0.60_b1.00_ar0.028_br0.28_atr1.00_btr1.18_rp0.35	0	0	717	22544.72	1.0700	33738.13	1.4669	-63757.05	-0.8149	-80.95	-2740.35	6418.24	-0.7303	-0.6789	0.0174
r9t2_013_b_then_a_a0.60_b1.15_ar0.020_br0.20_atr0.92_btr1.08_rp0.15	0	0	717	25703.53	1.0786	39190.93	1.4852	-68438.97	-0.8244	3077.86	2712.45	1736.32	-0.7217	-0.6606	0.0079
r9t2_014_b_then_a_a0.60_b1.15_ar0.024_br0.24_atr0.96_btr1.12_rp0.25	0	0	717	25703.53	1.0786	39190.93	1.4852	-68475.93	-0.8246	3077.86	2712.45	1699.36	-0.7217	-0.6606	0.0077
r9t2_015_b_then_a_a0.60_b1.15_ar0.028_br0.28_atr1.00_btr1.18_rp0.35	0	0	717	25703.53	1.0786	39190.93	1.4852	-68540.40	-0.8251	3077.86	2712.45	1634.89	-0.7217	-0.6606	0.0072
r9t1_038_trend_bias_adaptive_atr_defensive_atr_ahi0.10_ahm0.60_st10.0_sf0.65	0	0	712	20081.39	1.0680	35620.36	1.6765	-71045.23	-0.8375	-2544.28	-858.12	-869.94	-0.7323	-0.4693	-0.0052
r9t1_041_trend_bias_adaptive_atr_defensive_atr_ahi0.14_ahm0.60_st10.0_sf0.65	0	0	712	20081.39	1.0680	35620.36	1.6765	-71045.23	-0.8375	-2544.28	-858.12	-869.94	-0.7323	-0.4693	-0.0052
r9t2_022_b_then_a_a0.75_b1.15_ar0.020_br0.20_atr0.92_btr1.08_rp0.15	0	0	718	26778.56	1.0427	38168.62	1.3645	-70455.74	-0.8412	4152.89	1690.14	-280.45	-0.7576	-0.7813	-0.0089
r9t2_023_b_then_a_a0.75_b1.15_ar0.024_br0.24_atr0.96_btr1.12_rp0.25	0	0	718	26778.56	1.0427	38168.62	1.3645	-70500.20	-0.8414	4152.89	1690.14	-324.91	-0.7576	-0.7813	-0.0091
r9t2_024_b_then_a_a0.75_b1.15_ar0.028_br0.28_atr1.00_btr1.18_rp0.35	0	0	718	26778.56	1.0427	38168.62	1.3645	-70544.68	-0.8416	4152.89	1690.14	-369.39	-0.7576	-0.7813	-0.0093
r9t2_020_b_then_a_a0.75_b1.00_ar0.024_br0.24_atr0.96_btr1.12_rp0.25	0	0	719	23604.57	1.0343	32758.38	1.3359	-68694.02	-0.8472	978.90	-3720.10	1481.27	-0.7660	-0.8099	-0.0149
r9t2_019_b_then_a_a0.75_b1.00_ar0.020_br0.20_atr0.92_btr1.08_rp0.15	0	0	719	23604.57	1.0343	32758.38	1.3359	-68665.53	-0.8472	978.90	-3720.10	1509.76	-0.7660	-0.8099	-0.0149
r9t2_021_b_then_a_a0.75_b1.00_ar0.028_br0.28_atr1.00_btr1.18_rp0.35	0	0	719	23604.57	1.0343	32758.38	1.3359	-68754.63	-0.8476	978.90	-3720.10	1420.66	-0.7660	-0.8099	-0.0153
