ts,open,high,low,close,volume
2025-07-02T04:00:00,32.76,32.84,32.74,32.81,31786.0
2025-07-02T05:00:00,32.82,32.93,32.81,32.9,27563.0
2025-07-02T06:00:00,32.89,33.0,32.89,32.98,11190.0
2025-07-02T07:00:00,32.97,33.03,32.91,32.94,75187.0
2025-07-02T08:00:00,33.01,33.07,32.6,32.89,417001.0
2025-07-02T09:00:00,32.88,33.03,32.88,32.96,1534529.0
2025-07-02T10:00:00,32.97,33.12,32.95,33.11,2711107.0
2025-07-02T11:00:00,33.11,33.14,33.08,33.12,1963431.0
2025-07-02T12:00:00,33.12,33.16,33.11,33.14,1149064.0
2025-07-02T13:00:00,33.14,33.19,33.13,33.18,732939.0
2025-07-02T14:00:00,33.18,33.2,33.15,33.2,974326.0
2025-07-02T15:00:00,33.2,33.24,33.19,33.22,1805011.0
2025-07-02T16:00:00,33.24,33.24,33.0,33.22,330702.0
2025-07-02T17:00:00,33.22,33.25,33.22,33.25,14064.0
2025-07-02T18:00:00,33.24,33.25,33.21,33.24,47142.0
2025-07-02T19:00:00,33.23,33.25,33.08,33.08,25473.0
2025-07-03T04:00:00,33.42,33.68,33.4,33.68,184261.0
2025-07-03T05:00:00,33.66,33.66,33.37,33.45,47591.0
2025-07-03T06:00:00,33.47,33.59,33.44,33.54,21050.0
2025-07-03T07:00:00,33.54,33.59,33.46,33.51,38332.0
2025-07-03T08:00:00,33.54,33.68,33.07,33.25,568549.0
2025-07-03T09:00:00,33.27,33.55,33.19,33.44,1852911.0
2025-07-03T10:00:00,33.44,33.47,33.31,33.32,1711499.0
2025-07-03T11:00:00,33.32,33.47,33.29,33.45,1777516.0
2025-07-03T12:00:00,33.45,33.51,33.41,33.49,2102001.0
2025-07-03T13:00:00,33.51,33.55,33.49,33.5,242841.0
2025-07-03T14:00:00,33.5,33.5,33.45,33.49,49531.0
2025-07-03T15:00:00,33.5,33.5,33.47,33.5,188929.0
2025-07-03T16:00:00,33.47,33.5,33.47,33.49,14382.0
2025-07-07T04:00:00,33.3,33.3,33.15,33.27,52445.0
2025-07-07T05:00:00,33.25,33.26,33.2,33.25,22646.0
2025-07-07T06:00:00,33.24,33.24,32.86,32.94,205606.0
2025-07-07T07:00:00,32.94,33.0,32.87,32.91,150709.0
2025-07-07T08:00:00,32.92,33.4,32.87,33.0,425203.0
2025-07-07T09:00:00,32.97,33.27,32.91,33.27,2275804.0
2025-07-07T10:00:00,33.27,33.32,33.23,33.26,1598310.0
2025-07-07T11:00:00,33.26,33.35,33.23,33.35,1302190.0
2025-07-07T12:00:00,33.34,33.37,33.3,33.33,1278057.0
2025-07-07T13:00:00,33.32,33.42,33.32,33.38,861995.0
2025-07-07T14:00:00,33.37,33.42,33.3,33.41,1010069.0
2025-07-07T15:00:00,33.41,33.44,33.35,33.44,2146916.0
2025-07-07T16:00:00,33.43,33.45,33.4,33.44,201781.0
2025-07-07T17:00:00,33.43,33.44,33.41,33.42,10403.0
2025-07-07T18:00:00,33.43,33.47,33.42,33.45,35957.0
2025-07-07T19:00:00,33.45,33.45,33.41,33.42,15614.0
2025-07-08T04:00:00,33.46,33.47,33.36,33.41,28923.0
2025-07-08T05:00:00,33.38,33.41,33.32,33.32,25120.0
2025-07-08T06:00:00,33.34,33.45,33.34,33.45,11435.0
2025-07-08T07:00:00,33.44,33.45,33.32,33.32,35802.0
2025-07-08T08:00:00,33.4,33.51,33.25,33.39,190769.0
2025-07-08T09:00:00,33.38,33.38,33.18,33.22,2055470.0
2025-07-08T10:00:00,33.22,33.24,33.04,33.09,3393747.0
2025-07-08T11:00:00,33.1,33.14,33.01,33.09,2691145.0
2025-07-08T12:00:00,33.09,33.21,32.97,33.2,2469172.0
2025-07-08T13:00:00,33.2,33.31,33.17,33.3,2563771.0
2025-07-08T14:00:00,33.3,33.36,33.25,33.34,1312183.0
2025-07-08T15:00:00,33.34,33.34,33.26,33.3,1619727.0
2025-07-08T16:00:00,33.29,33.39,33.27,33.39,397368.0
2025-07-08T17:00:00,33.38,33.38,33.32,33.34,7637.0
2025-07-08T18:00:00,33.33,33.4,33.33,33.36,17287.0
2025-07-08T19:00:00,33.36,33.37,33.16,33.2,43658.0
2025-07-09T04:00:00,33.21,33.23,33.11,33.17,4162.0
2025-07-09T05:00:00,33.16,33.25,33.1,33.25,16087.0
2025-07-09T06:00:00,33.27,33.29,33.24,33.26,6104.0
2025-07-09T07:00:00,33.26,33.3,33.16,33.16,64006.0
